event_id,category,n_event_hours_log_trips,mean_log_event_log_trips,mean_log_baseline_log_trips,log_diff_log_trips,lift_pct_log_trips,t_stat_log_trips,p_value_log_trips,n_event_hours_log_fpm,mean_log_event_log_fpm,mean_log_baseline_log_fpm,log_diff_log_fpm,lift_pct_log_fpm,t_stat_log_fpm,p_value_log_fpm
301.0,sports_mlb,7,5.144935595803155,5.177842910582143,-0.03290731477898845,-3.2371759729762584,-0.8671757384511667,0.4191703238763251,7,1.9232315399115798,1.9140813315227019,0.009150208388877923,0.9192199523816669,0.3305560441333565,0.7522176155290506
302.0,sports_mlb,7,5.5055357820151505,5.402534738008719,0.10300104400643129,10.849256634877147,3.248583115025796,0.017497407403261264,7,1.9103937062486138,1.8870409870898626,0.023352719158751256,2.362752892041642,2.0836658572334152,0.08231629935673403
303.0,sports_mlb,7,5.455694758571767,5.2271730492139294,0.2285217093578371,25.674080787165778,7.555951561172732,0.00027893538242013046,7,1.9105804169250133,1.827217461517261,0.0833629554077524,8.693624635073638,2.185532731162746,0.07151377681175623
304.0,sports_mls,7,5.151338731535643,5.1867493400693645,-0.0354106085337218,-3.479098817746551,-0.948763873132423,0.3793719742176583,7,1.5305386101833423,1.5074611272590421,0.02307748292430012,2.334582830276277,0.8467668138078747,0.4295989926246107
305.0,sports_mlb,7,5.148563852992194,5.094338236858462,0.054225616133732224,5.57227633757289,2.070267774904842,0.08385636628119233,7,1.8011402154129215,1.7335479583536206,0.06759225705930083,6.992896354460143,2.0347889461924016,0.08807769267155048
307.0,sports_mlb,7,4.949415425288017,4.741754070195051,0.20766135509296646,23.079629606955155,1.11725783685673,0.3066150449686984,7,1.5733558133248968,1.5508974199516028,0.022458393373294028,2.271248166276685,1.3558719358530056,0.2239464697834357
308.0,sports_mlb,7,5.007204389468813,4.809972296628211,0.1972320928406024,21.802670318014194,1.1502727700838349,0.2938039950265102,7,1.6520885027475884,1.5683473371412475,0.08374116560634093,8.734741447340898,3.746905081149406,0.009544492812883203
309.0,sports_mlb,7,5.022539415058422,4.8770949663923675,0.14544444866605488,15.655348470876817,0.7128589541579516,0.5027014295194949,7,1.619917519765822,1.581887225415117,0.03803029435070493,3.876270104340618,1.2345096975103376,0.2631657805760292
310.0,sports_mlb,7,5.12120929220967,4.9337977721848745,0.18741152002479566,20.612352691989287,0.8826508163225564,0.4113891644136837,7,1.6171703204889387,1.5806715024518418,0.03649881803709687,3.717307811692283,0.7992318230838219,0.45462290692062524
311.0,sports_mlb,7,5.219184881906893,5.087100543595609,0.13208433831128374,14.120456247431168,0.8088095936878943,0.4494983620560319,7,1.6484521199928879,1.6010089406448387,0.0474431793480492,4.858661805326214,1.4015195687363187,0.21060931821780343
312.0,sports_mlb,7,4.9917301226105435,4.933072971844728,0.058657150765815125,6.041161709883425,1.0942964414671743,0.31579838271433763,7,1.6020708020768641,1.5259371441789622,0.07613365789790194,7.910679566481771,1.2427217635256136,0.26033253211319446
313.0,sports_mlb,7,4.746713743290759,4.751019798170765,-0.004306054880006016,-0.4296797118600981,-0.052105554380755474,0.9601360364562181,7,1.6555018171984217,1.500066233628981,0.15543558356944076,16.816668451544526,3.2455401380995417,0.017564329027831973
314.0,sports_mlb,7,5.023319261843929,4.933760846880749,0.08955841496317962,9.36912193786914,3.2934834156559636,0.016541753625892067,7,1.7641604842481302,1.7622825072327106,0.0018779770154195852,0.18797415186473376,0.10621120988759637,0.9188768600690422
315.0,sports_mlb,7,5.126141372461886,5.0992535522723355,0.026887820189550382,2.725255930222903,0.3430016868831942,0.7432953557860997,7,1.9590261378799239,1.8765985086197328,0.0824276292601911,8.592008175553168,2.0030298056147258,0.09203909941160321
316.0,sports_mlb,7,5.212085583744833,5.177842910582142,0.034242673162690807,3.4835703112648497,1.2612199468709835,0.2540480513125249,7,1.9830294383285128,1.9140813315227019,0.06894810680581087,7.1380610343695805,1.7264050471361057,0.1350240919705733
317.0,sports_mls,7,4.957813477373199,4.8770949663923675,0.08071851098083194,8.40657010232837,0.9988848022418878,0.35641565685863336,7,1.5388421082257697,1.581887225415117,-0.04304511718934734,-4.213182722760422,-1.6765435242494358,0.144646316817185
318.0,sports_mlb,7,5.456946375735606,5.241688287679933,0.21525808805567248,24.018193180916093,6.603650613534429,0.0005799606287513972,7,1.976577127093402,1.9222274105140118,0.05434971657939025,5.58537871710425,1.6170889867100733,0.1569864376872879
320.0,sports_mlb,7,5.452165901352674,5.402534738008719,0.04963116334395501,5.088342055916084,2.482222927030678,0.04766158611219796,7,1.8797948452019697,1.8870409870898626,-0.007246141887892854,-0.7219951898735699,-0.5610965160343008,0.5950500953966453
321.0,sports_mlb,7,5.28215490547132,5.2271730492139294,0.05498185625739094,5.6521445248428615,1.5064510272069698,0.18266744676195712,7,1.884954171306319,1.8272174615172607,0.057736709789058205,5.943601985294644,3.815354900875597,0.00880832611618157
322.0,sports_mls,7,5.183205580798829,5.1867493400693645,-0.003543759270535851,-0.35374875663094496,-0.05683727221625124,0.9565203354372636,7,1.653323668850635,1.5074611272590421,0.14586254159159284,15.703713263657448,3.188689162091837,0.018867539392265285
323.0,sports_mls,7,5.183205580798829,5.1867493400693645,-0.003543759270535851,-0.35374875663094496,-0.05683727221625124,0.9565203354372636,7,1.653323668850635,1.5074611272590421,0.14586254159159284,15.703713263657448,3.188689162091837,0.018867539392265285
324.0,sports_mls_messi,7,5.183205580798829,5.1867493400693645,-0.003543759270535851,-0.35374875663094496,-0.05683727221625124,0.9565203354372636,7,1.653323668850635,1.5074611272590421,0.14586254159159284,15.703713263657448,3.188689162091837,0.018867539392265285
325.0,sports_mlb,7,5.145657581153489,5.094338236858462,0.0513193442950266,5.265900025976622,1.8880453032439062,0.10794425104911638,7,1.7782652500878717,1.7335479583536206,0.0447172917342511,4.57321809839244,2.3437479791714515,0.05754822272607357
326.0,sports_mlb,7,4.936883434815161,4.809972296628211,0.12691113818694966,13.531612704945118,0.6200367166062842,0.5580316424324496,7,1.6254919997252846,1.5683473371412475,0.057144662584037054,5.8808969358556284,1.5088692257951508,0.18206610778122817
327.0,sports_mlb,7,5.014230738958996,4.8770949663923675,0.13713577256662823,14.698386689250654,0.7682518729694577,0.4714826247856072,7,1.587586461149362,1.581887225415117,0.005699235734244912,0.5715507275318332,0.10986353269354195,0.9161000868422193
328.0,sports_mlb,7,5.104778161975965,4.9337977721848745,0.1709803897910902,18.64674819183909,1.0910592171640412,0.3171113171659593,7,1.5766161652815482,1.5806715024518418,-0.004055337170293605,-0.4047125394767703,-0.09031013621483491,0.9309801318935567
330.0,sports_mlb,7,5.264329916776059,5.087100543595609,0.17722937318044973,19.390491148934696,1.5036409607606407,0.18336856574882757,7,1.5982182395352058,1.6010089406448387,-0.002790701109632865,-0.2786810723101385,-0.11505722515837061,0.9121536910906316
331.0,sports_mlb,13,5.066219336991261,5.052307069580408,0.013912267410852941,1.4009493357687086,0.3455340775847387,0.7356746087248847,13,1.6185611351247493,1.513673083615757,0.10488805150899227,11.058627493864059,2.8821858055563943,0.013774574250178511
332.0,sports_mls,13,5.066219336991261,5.052307069580408,0.013912267410852941,1.4009493357687086,0.3455340775847387,0.7356746087248847,13,1.6185611351247493,1.513673083615757,0.10488805150899227,11.058627493864059,2.8821858055563943,0.013774574250178511
333.0,sports_mlb,7,4.719719430839686,4.751019798170765,-0.031300367331079215,-3.0815581985481955,-0.5966079196081936,0.5725761297750985,7,1.5833677041895053,1.5000662336289812,0.08330147056052417,8.686941829616002,4.162351459531954,0.005928838867750914
335.0,sports_mls,7,4.861928171535313,4.8770949663923675,-0.015166794857054633,-1.5052358299682767,-0.42626250199261306,0.6847854137299099,7,1.5373337289789266,1.581887225415117,-0.04455349643619044,-4.357556657365791,-2.3901638686915607,0.05401417469417663
337.0,sports_mls,7,4.863433184987801,4.936282053276334,-0.0728488682885331,-7.025866719283891,-0.9633903929218315,0.3725560366556779,7,1.4836583018028617,1.513855531184101,-0.030197229381239366,-2.9745847949952497,-2.731210731332421,0.0341311554851354
340.0,sports_nhl,7,5.748189663016376,5.6734133871275985,0.07477627588877755,7.764302918434884,2.406512489371319,0.05282416268357506,7,1.9526378340743291,1.9481086783131454,0.004529155761183734,0.4539427889306058,0.2002238689000277,0.8479195711693344
343.0,sports_nhl,7,6.109642693906301,6.114676204682466,-0.00503351077616454,-0.5020863889109495,-0.1317286640266528,0.8995051448632779,7,1.885383831397108,1.9241420619343204,-0.03875823053721228,-3.8016740790728143,-3.0191387223924577,0.023423075690310664
347.0,sports_mls,7,5.08391769606407,5.186749340069364,-0.10283164400529365,-9.772113524896753,-2.849930014823274,0.029184297165692787,7,1.533731171787397,1.5074611272590421,0.026270044528354797,2.6618143656640614,1.569898828443386,0.16749147521739716
351.0,sports_nhl,7,6.453346949319333,6.270530978781553,0.18281597053778054,20.05934431837355,6.937168621750632,0.00044469630037395196,7,2.0956433962581853,2.0376453557228777,0.05799804053530755,5.9712919238203765,0.9313279683584663,0.3876233549406137
352.0,sports_nba,7,5.973558461640041,5.866544641815366,0.10701381982467417,11.294963514187506,4.361757439931624,0.004761400581619975,7,2.0036169663164114,1.9752693192704476,0.02834764704596382,2.875326529556199,2.1988252396626082,0.07021573036154118
354.0,sports_nhl,7,5.747228596291456,5.673413387127598,0.07381520916385842,7.660783985034958,1.4282882513670176,0.20312916975194154,7,2.0342694619947177,1.9481086783131452,0.08616078368157254,8.998156546605497,1.9924025813719917,0.09340452176095525
356.0,sports_nba,7,4.764985208707913,4.721533989483774,0.043451219224139415,4.440904598580775,1.0010918716523698,0.3554306642646801,7,1.6928034449020593,1.660840878408577,0.03196256649348217,3.2478855277761287,1.1030261561998713,0.3122803248385228
358.0,sports_nba,7,6.318025273449623,6.114676204682466,0.20334906876715753,22.55001774292844,9.25461899915517,8.992835577409325e-05,7,1.9969342778535926,1.9241420619343208,0.07279221591927176,7.55070404542868,3.709214419034186,0.009978873782988831
359.0,sports_nba,7,4.838638768400002,4.731334433702513,0.10730433469748846,11.327301053398319,2.6509195418637446,0.03798191621452957,7,1.7883228679644054,1.7442872293236285,0.044035638640776975,4.501959730283844,1.6070428435099737,0.15916882669039062
362.0,sports_nba,7,5.292650973455006,5.0408992799089605,0.2517516935460451,28.627660684511103,11.203313105745282,3.0196688032136768e-05,7,1.712015157965134,1.7718886979189514,-0.0598735399538175,-5.811636329860703,-2.5973226793838307,0.04080866451238674
363.0,sports_nhl,7,5.999415438542644,5.8665446418153655,0.13287079672727842,14.210242542649997,9.494807443811613,7.77806498415063e-05,7,1.9478883903033208,1.9752693192704474,-0.027380928967126517,-2.7009469356298887,-1.4425100391082395,0.1992550700476774
364.0,sports_mls,7,5.162516469799181,5.1867493400693645,-0.024232870270183504,-2.3941611689867526,-0.591184714923253,0.57597514759343,7,1.5122008127769575,1.5074611272590421,0.004739685517915371,0.4750935594238559,0.6098746415976692,0.5643122264558692
365.0,sports_nba,7,4.739376214939519,4.721533989483774,0.017842225455744654,1.8002348862016904,0.35316401408414916,0.7360421839703353,7,1.6273394148162421,1.660840878408577,-0.03350146359233497,-3.294650414171685,-1.6112754888976122,0.15824583314841104
367.0,sports_nhl,7,5.42165074229254,5.3439484161887325,0.07770232610380745,8.08008845702657,1.0641834987037595,0.328186636975027,7,2.0186023568226217,1.8310952213294933,0.18750713549312836,20.623885649934447,2.141039145627336,0.07604118615186796
368.0,sports_mls,7,4.827125060001828,4.936282053276332,-0.10915699327450401,-10.341035209612603,-3.102750187275622,0.021042499920580222,7,1.503102928225201,1.5138555311841013,-0.010752602958900237,-1.0695000367833218,-0.3623240166152102,0.7295298250570612
369.0,sports_nba,7,4.689131488051824,4.609034097754027,0.08009739029779617,8.339257446266357,1.8553980055054438,0.11294192526035174,7,1.6909845751693273,1.6832846665867949,0.007699908582532444,0.7729629111435266,0.23239261713657355,0.8239570724400171
371.0,sports_nhl,7,6.4267558317691575,6.270530978781553,0.1562248529876049,16.90890467031032,6.777202090805128,0.0005044470687073878,7,2.0480350656288104,2.0376453557228773,0.010389709905933131,1.044387034981864,0.2998772316731503,0.7743884260884514
