pickup_zone,holiday_date,trip_lift_pct,fpm_lift_pct
13,2025-01-01,-59.28771190829679,-10.744537292344251
13,2025-01-20,-44.68597633631545,-10.826588614350587
13,2025-02-17,-46.154490238891135,-12.139150903839038
13,2025-03-17,-6.798317649862483,4.3966872507987445
13,2025-05-26,-59.224263971814835,-10.196856330295962
13,2025-06-19,-40.466622260060966,-7.988224184976629
13,2025-06-29,-10.97171252480202,9.820243294086291
13,2025-07-04,-56.022379855941985,1.4704804679549182
14,2024-01-01,4.671064360848634,-2.2422281243487157
14,2024-01-15,-18.532715279015868,-8.039225552285968
14,2024-02-19,-16.839008735960064,-9.377106506402978
14,2024-05-27,-27.085933321447676,-9.844927613419896
14,2024-06-19,-6.446842307060313,-6.269483340406983
14,2024-07-04,-16.337216913208536,-15.949080472284937
14,2024-09-02,-29.160723836691034,-13.779100878066927
14,2024-10-14,-6.168657514708506,-7.412960960892814
14,2024-10-31,27.76090028032194,-7.615147201859814
14,2024-11-03,-5.128830326131317,-1.264272690350148
14,2024-11-11,-11.249777143875916,-8.733372697167885
14,2024-11-28,31.05795577142702,-18.53011285564375
14,2024-12-25,-2.766062332256128,-18.61811362899769
14,2024-12-31,37.6674554316367,-6.156590268254247
14,2025-01-01,9.96330174727501,-14.549357479918063
14,2025-01-20,8.651274737029771,-10.657442189598965
14,2025-02-17,-0.028971296131219713,-11.957954032589669
14,2025-03-17,16.69638081654484,3.685031648870379
14,2025-05-26,-18.405687288286686,-10.238284319634328
14,2025-06-19,0.41032632001841646,0.7213110066808069
14,2025-06-29,0.11594231745304154,2.542654855756229
14,2025-07-04,-25.074141174026938,-10.858973850456241
15,2024-01-01,-6.349805104991825,-7.879068295181896
15,2024-01-15,-16.543023596965504,-11.598923628012226
15,2024-02-19,-14.950333207594616,-12.765024372874395
15,2024-05-27,-27.37331824468754,-12.038958328547368
15,2024-06-19,3.272777224492593,-3.851893998876403
15,2024-07-04,-5.37181594083813,-10.285480178105308
15,2024-09-02,-20.36548053145563,-11.324478926138159
15,2024-10-14,-8.579571650111067,-3.5009499912841746
15,2024-10-31,30.433442892358254,-11.277845094954824
15,2024-11-03,2.401854596587239,-1.6596349480480568
15,2024-11-11,-8.898109727985243,-7.543423416494028
15,2024-11-28,6.563270336893997,-15.115555546560575
15,2024-12-25,-8.843023455475812,-15.706970392087099
15,2024-12-31,44.43171238272578,-5.751350543892123
15,2025-01-01,-0.765823002163542,-13.64047315631865
15,2025-01-20,5.117565698478565,-14.77028387710021
15,2025-02-17,3.2063372312335,-12.661136734678118
15,2025-03-17,3.524875309107677,6.039583532532325
15,2025-05-26,-8.26103357223689,-9.454899324210576
15,2025-06-19,11.67830731306491,-3.2739661332651804
15,2025-06-29,13.06198457036446,3.3457579043079138
15,2025-07-04,-10.943809853467169,-9.137220871870252
16,2024-01-01,2.904513355848947,6.970441904560857
16,2024-01-15,-17.04636168252993,-9.685243441392986
16,2024-02-19,-23.813325145839727,-10.88035807009738
16,2024-05-27,-32.9137242861529,-6.468559853078188
16,2024-06-19,-11.245650661099504,-3.4800918168364627
16,2024-07-04,-31.308365037798314,-12.50847919351524
16,2024-09-02,-28.130181148295975,-6.823738077680278
16,2024-10-14,-7.945962542216758,-4.10569123286868
16,2024-10-31,21.696971194228958,-10.857198869879516
16,2024-11-03,0.8091083994412699,-2.7501675070782934
16,2024-11-11,-13.662879950875034,-3.516418271258869
16,2024-11-28,45.27768170364148,-10.055190586221894
16,2024-12-25,-31.022964509394562,-16.197528922430177
16,2024-12-31,31.896740601358413,-8.523050868405647
16,2025-01-01,10.480167014613789,-7.0412402486798005
16,2025-01-20,-0.12895302425544353,-10.586726643044958
16,2025-02-17,-7.945962542216758,-9.296189403466979
16,2025-03-17,23.55541909732884,6.1747634524341635
16,2025-05-26,-25.44673011974209,-7.242636417254963
16,2025-06-19,4.677849696131226,-2.828980725073097
16,2025-06-29,4.393432253643626,3.787518301433388
16,2025-07-04,-24.203638378821957,-9.820108367536614
17,2024-01-01,42.34637889410195,6.351828512395817
17,2024-01-15,21.449187740954994,-10.006506926311385
17,2024-02-19,16.539606686902395,-12.265723988718792
17,2024-05-27,13.04625093690343,-11.957493732863245
17,2024-06-19,27.0114981331569,-7.518301643384725
17,2024-07-04,12.6929394587266,-12.04286245582058
17,2024-09-02,26.484655488701254,-7.102220403202877
17,2024-10-14,1.0870150360060753,-6.7067828386136235
17,2024-10-31,32.0070918287532,-8.069211008397145
17,2024-11-03,3.5810838348571497,-0.6728485190117451
17,2024-11-11,2.6920703806001938,-8.43087794522002
17,2024-11-28,13.693812900870839,-14.340793220404082
17,2024-12-25,-7.669248063952031,-20.77115205565162
17,2024-12-31,74.39495908509379,1.2582604937117765
17,2025-01-01,33.987347327342334,4.285470706470388
17,2025-01-20,32.05514168464554,-7.378865786561479
17,2025-02-17,38.443891389598605,-7.449456264396863
17,2025-03-17,1.9682218918616698,8.031595511846161
17,2025-05-26,17.924360317532617,-7.390858583169398
17,2025-06-19,14.775838243729472,3.6478708639273356
17,2025-06-29,-1.5691016044233734,5.774000623331713
17,2025-07-04,-14.192290234184563,-5.1351674120901105
18,2024-01-01,17.509117148622995,-0.03318845860446908
18,2024-01-15,-19.218170821531444,-15.098075819227452
18,2024-02-19,-3.74446833100789,-15.256165265637323
18,2024-05-27,-19.764301497667567,-10.538653416092819
18,2024-06-19,-8.46407167256439,-11.816524552314227
18,2024-07-04,-9.72899823726511,-12.838753414881554
18,2024-09-02,-17.53426790344506,-10.031157002448921
18,2024-10-14,-5.79245836651836,-8.017008513314428
18,2024-10-31,17.750191004559145,-5.0643485576926075
18,2024-11-03,-0.46076600434742193,-3.541633992617102
18,2024-11-11,-12.118472031761813,-9.790152095541975
18,2024-11-28,46.43133573358235,1.1321913162848152
18,2024-12-25,26.758575548691923,-8.870617731839694
18,2024-12-31,46.884426576607204,3.600364514161869
18,2025-01-01,25.555851009429514,-4.647637554084005
18,2025-01-20,-4.154066338109984,-12.049892066376028
18,2025-02-17,-2.0605654129215027,-10.82991280672827
18,2025-03-17,9.590222344649172,9.848240855423837
18,2025-05-26,-19.12714904217542,-9.932229925629201
18,2025-06-19,-11.055293947277743,-5.886347666416403
18,2025-06-29,-8.484625825347738,6.938465286548132
18,2025-07-04,-21.463022849639422,-9.084547824206343
19,2024-01-01,-16.949975716367167,-6.636688903194378
19,2024-01-15,-23.40942204953861,-11.465448366340077
19,2024-02-19,-28.71539582321515,-8.647497078079079
19,2024-05-27,-37.020398251578435,-8.867983687488831
19,2024-06-19,-24.18168786004407,-8.16570862953333
19,2024-07-04,-25.33635794743429,-14.256483077830225
19,2024-09-02,-25.716367168528407,-11.82089521623492
19,2024-10-14,-16.949975716367167,-7.205601795785461
19,2024-10-31,12.103671255736343,-5.87531563507232
19,2024-11-03,12.537448055922438,-6.411069265942472
19,2024-11-11,-19.718309859154925,-9.40919003350958
19,2024-11-28,-6.724551522736749,-14.85168054434224
19,2024-12-25,-10.801985717698907,-15.999843180789236
19,2024-12-31,13.924050632911392,-8.078370554882726
19,2025-01-01,-7.234065146406862,-18.877966678258705
19,2025-01-20,-8.644973288003882,-14.55847942941618
19,2025-02-17,-9.798445847498783,-10.689671634161353
19,2025-03-17,9.579893152015545,7.850724410857765
19,2025-05-26,35.879067508499276,-13.065206511139852
19,2025-06-19,-2.8290571547767995,-5.886455668409852
19,2025-06-29,7.6088006958090455,2.1198575295206976
19,2025-07-04,-14.17523386125776,-9.972554186061828
20,2024-01-01,-19.529927681181714,-2.0522109734491454
20,2024-01-15,-22.380366210186175,-16.030745957527465
20,2024-02-19,-16.752577319587623,-13.720206312039457
20,2024-05-27,-25.45006924142175,-9.987603094099136
20,2024-06-19,-9.621949274206418,-7.994992049879006
20,2024-07-04,-27.293320027245805,-13.46319915609585
20,2024-09-02,-14.925373134328352,-10.012945473759702
20,2024-10-14,2.688875211571019,-5.230148740062885
20,2024-10-31,29.30744982496158,-6.416130989308488
20,2024-11-03,17.53247838954004,-6.18317820059661
20,2024-11-11,-11.928758270503149,-9.279170170847397
20,2024-11-28,11.163649036100677,-2.7545700238853006
20,2024-12-25,-17.25953102568193,-9.718476232429138
20,2024-12-31,20.858354956958692,1.9227005854753307
20,2025-01-01,-3.8602647950231357,-9.402696998997486
20,2025-01-20,-6.447145714725335,-15.453224265421332
20,2025-02-17,1.4463763655947148,-13.64136918134678
20,2025-03-17,4.3699030620095485,5.15593100601526
20,2025-05-26,-19.895368518233568,-8.731591808071945
20,2025-06-19,-20.390787118440024,-0.25769847913725097
20,2025-06-29,-14.515373940376866,9.704487462273628
20,2025-07-04,-36.68433703203714,-6.353636511096855
21,2024-01-01,-2.9812018962327143,-3.951413582140713
21,2024-01-15,-8.556038493962053,-6.924757217926597
21,2024-02-19,-4.728538740297134,-6.747364259370577
21,2024-05-27,-28.941635008046944,-5.0922431452599435
21,2024-06-19,-10.857793162312106,-5.631784448772619
21,2024-07-04,-16.243161094224916,-8.395855792872263
21,2024-09-02,-26.44543951652635,-9.17545485258566
21,2024-10-14,1.2623304393523038,-5.326857862607697
21,2024-10-31,21.637596446107096,-6.27274198741995
21,2024-11-03,-12.394225983076163,-0.3601440940518445
21,2024-11-11,-15.12935328829963,-6.459132538204323
21,2024-11-28,23.42296001870471,-15.440603687843222
21,2024-12-25,7.942529280667647,-16.52082423243858
21,2024-12-31,35.996328661299884,-4.297421229576983
21,2025-01-01,16.78505381952677,-14.185770414454579
21,2025-01-20,9.91580814329038,-10.307041359928068
21,2025-02-17,8.334884331994001,-6.063561584192437
21,2025-03-17,12.57841666757902,4.890514824589628
21,2025-05-26,-21.12022246794907,-8.264915456594418
21,2025-06-19,2.3867196633154166,-0.028604263182730155
21,2025-06-29,29.998340799734518,3.5798053936245937
21,2025-07-04,-7.0902860177402385,-7.07541027402102
22,2024-01-01,-7.457668812266821,-5.331716217739775
22,2024-01-15,-10.88516255996064,-6.565348843273347
22,2024-02-19,-8.953302447624125,-9.345882624934662
22,2024-05-27,-20.108236644664014,-7.104180583412428
22,2024-06-19,-4.803181081820282,-3.6285534952902507
22,2024-07-04,-15.475041052060357,-15.066985686012089
22,2024-09-02,-22.850231642819075,-11.907968772985376
22,2024-10-14,-6.211307449469068,-5.763407419919915
22,2024-10-31,24.359904998837152,-7.147489586562908
22,2024-11-03,-2.6129506276899686,-4.438132785728127
22,2024-11-11,-15.870608011151655,-9.397799017096435
